industry,eid
其它,003ffe3f-d012-40b6-9cd6-ba94cf235ae2
证券公司,0119443f-a2f2-400d-a970-f8ab0d856f4a
,0125e29f-f208-42a5-a06b-2b3c1cdf3b58
金融控股集团,03c6ab90-be73-4416-8189-fe12125b2932
其它,01476e8c-acc8-4860-9bd6-9c667380c3fb
,06fc37e2-8bf5-4e36-adc2-387f6a96a4ad
寿险公司,033b352f-178f-48ea-ae28-e7a462dd48d9
担保公司,06a31419-c821-4c09-bf33-14950d2ada63
,03c03a09-20e5-4fa0-83a8-42a47c1ebf0b
,08736812-22ed-4352-aa70-76bc6a687137
金融控股集团,070c9a15-d1ee-427f-8809-36e4018da818
,0f8128b3-16d1-4df6-b08c-1c7589bb7f50
,09081269-3311-49b5-b995-2879ea693cbd
资产管理公司,06c07fce-df8c-4f88-85e0-14863d44c012
投资公司,0e724f0d-c7d6-4ef0-9f62-32b36e48d87c
担保公司,09d547bc-bb2b-4ed2-8ed6-a60f27e1eee7
,050cdcde-10ea-4972-a252-d2361496a10b
寿险公司,0c29f988-cc0e-424a-8b74-0ba61120066f
寿险公司,12373795-9cdc-4b6a-a245-25cc386bc680
,0ca7b8b0-0c42-405e-976a-028ea24d82df
投资公司,0a6bd6b9-b714-47f6-bcab-b0f9627115b7
,086247a5-a682-4697-b5c0-d4c13788cb49
其它,05f772fe-3956-419f-87cb-00a63da32f9b
担保公司,0e4372b7-2e8f-4d27-8158-c314b6123bad
投资公司,0aa4e294-387d-42bf-9b2f-4ce4b90634d7
证券公司,06a3dba8-9496-4edd-acb0-efedd367e03b
,0c396595-8d0f-4142-8ada-37b0eca377aa
投资公司,098cf426-1398-4f25-8e4a-e46df88442c9
投资公司,09dbc27e-8a70-4d06-a725-7315c562ab39
资产管理公司,11ac4ea4-8231-4cd0-8543-ce1211cd9715
其它,1342ef6c-e28c-4f2e-854c-97688f47d308
金融控股集团,0f08c3fe-c6ac-4b60-91ca-4927c6ccefb4
,0c5b92c6-b789-4b40-838f-11ff74a8a437
,0fa3b0c8-9ae0-4693-9c22-fc991ff7c84b
,0ccf1b6c-2152-4dda-bd3a-8451d35dd819
担保公司,0f20c788-7dbf-4c8b-a4b1-78ca0f314934
担保公司,12710f04-fbef-49f0-9f07-784b22827dde
证券公司,1196f6cb-4fa2-4775-bf0f-1ea0ad628abd
,0d60c4d6-aa98-44a2-982f-7862cccb1eb2
证券公司,0d37b5aa-68d2-4f98-9e05-f91d156b0329
,0fbdb147-75d7-4a12-9935-e484dcf2cab3
其它,0f4a7fd6-41f3-4325-96a2-1b40dfc42277
其它,15b76ace-df8e-4675-afd4-749b9fa3a855
金融控股集团,18af736c-06e1-40ed-85db-497597c9d588
,1c55f341-228f-4c7c-b813-0e99365c6fc0
证券公司,1ab35277-0668-46d5-8a2b-47c82e5646d6
其它,1348e2c1-acd4-4b43-ba4f-a06af321158b
,205e8059-5d13-4d53-847d-4db5184016ec
担保公司,0e8a1c5f-e52f-42dc-b91c-5c5daa1daed9
证券公司,1f344158-89f2-48a9-87f3-e058aca21a16
,15c216bf-2740-4a60-8796-ea73f5ef7727
,1dc1e8da-0b50-4c3c-b385-1feb7f1a92a8
寿险公司,15de6a81-d469-45b5-a3f7-9ff16d08244b
投资公司,107b1574-b5d4-4cc9-be21-ec36835bd3f9
寿险公司,217d826b-befb-4cb3-82ed-e9e62b47ca20
投资公司,16fc32ed-7a7b-44e2-9edb-198417e435db
证券公司,21ec26c7-1136-4278-9597-7c6f40c9aa00
资产管理公司,1b9706f4-2db6-42b9-aa92-af7ffed7fa13
担保公司,1c1bce3d-c04c-46aa-ada5-f281a5955713
担保公司,217b8b05-43c8-455f-b330-9c804f3d66a2
投资公司,28205a22-963b-4184-9468-a03b5cfe8ff1
其它,20162b2f-d693-4a10-94bb-7ba388d1a0d8
资产管理公司,1c923a76-c1f2-4fbd-86f6-b5f53deb3a93
金融控股集团,29c04961-b9f7-4b51-89f4-a6bc681750ec
寿险公司,2b8d6151-e511-4d14-8253-0907d0898d9c
其它,1a532119-bc49-41ab-92a7-5e48ca3acabb
担保公司,1f1113d5-741b-4f52-991a-3b47c860e5d7
金融控股集团,218a2135-e39c-4888-beb0-fc69ea8f731a
其它,2745f8ba-6419-45e0-b5f6-487f34e180e8
证券公司,2c232ff7-fc9c-4e2e-a772-3102f95e8ae1
投资公司,2b4abac8-4120-49e8-b87b-d253322aaea8
寿险公司,21605d5f-400f-42ca-ae93-14a1669b9b54
,2cecaa52-2808-487b-b1ab-36e15ee46358
,2d61146d-57e4-42da-881c-33f86acd10ee
担保公司,3072a2e4-4800-45ca-8981-e5a4b341763c
金融控股集团,2abb1ee8-bd79-4d88-859c-c88e332b31e2
资产管理公司,2b0f198a-24ac-450e-ba6e-36c5c21b8022
,2bd8ec9b-d2d5-4c1a-9504-a64cdceda4a2
其它,2ca172b6-6d93-4499-8393-0faa3ea97d7d
寿险公司,2a6ec087-025a-4c1b-81ac-985da948f28a
,26c78844-59d0-498c-923b-0987dd898e19
寿险公司,2c855538-bf01-46c1-9deb-69e93b105780
投资公司,260d335e-c813-4701-b01a-5e56be4e4f07
,36683484-724e-4eb3-b656-0932ad6bfc8c
寿险公司,2cbcc12f-00a1-43cc-8af1-630c49102370
,2b56b6f2-2022-4fe7-b955-1d8120f363df
,2a163b06-2367-43b6-9049-e2ddef334fd7
担保公司,2d2b451e-995b-4459-9846-d98ca2f040bf
,3305766e-e827-4a5a-9e80-18a1e4fd6a3d
证券公司,2d412ae8-de07-4896-bdf5-f72ad5e800ff
,2d990ba3-10b9-4b51-904e-f71c7ec6a676
